Filepath,Label
dataset/SAM/negative/00054.jpg,NEGATIVE
dataset/SAM/negative/00044.jpg,NEGATIVE
dataset/SAM/positive/a_25_1.png,POSITIVE
dataset/SAM/negative/00141.jpg,NEGATIVE
dataset/SAM/negative/00191.jpg,NEGATIVE
dataset/SAM/negative/00124.jpg,NEGATIVE
dataset/SAM/negative/00144.jpg,NEGATIVE
dataset/SAM/positive/d_5_127.png,POSITIVE
dataset/SAM/negative/00011.jpg,NEGATIVE
dataset/SAM/positive/a_19_1.png,POSITIVE
dataset/SAM/negative/00161.jpg,NEGATIVE
dataset/SAM/positive/a_31_16.png,POSITIVE
dataset/SAM/positive/a_31_83.png,POSITIVE
dataset/SAM/negative/00086.jpg,NEGATIVE
dataset/SAM/positive/a_26_1.png,POSITIVE
dataset/SAM/negative/00068.jpg,NEGATIVE
dataset/SAM/negative/00176.jpg,NEGATIVE
dataset/SAM/negative/00091.jpg,NEGATIVE
dataset/SAM/positive/a_9_4.png,POSITIVE
dataset/SAM/positive/a_31_90.png,POSITIVE
dataset/SAM/positive/a_101_4.png,POSITIVE
dataset/SAM/negative/00064.jpg,NEGATIVE
dataset/SAM/negative/00070.jpg,NEGATIVE
dataset/SAM/negative/00184.jpg,NEGATIVE
dataset/SAM/negative/00053.jpg,NEGATIVE
dataset/SAM/negative/00143.jpg,NEGATIVE
dataset/SAM/negative/00211.jpg,NEGATIVE
dataset/SAM/negative/00217.jpg,NEGATIVE
dataset/SAM/positive/h_25_154.png,POSITIVE
dataset/SAM/positive/a_30_5.png,POSITIVE
dataset/SAM/positive/a_23_5.png,POSITIVE
dataset/SAM/negative/00073.jpg,NEGATIVE
dataset/SAM/negative/00005.jpg,NEGATIVE
dataset/SAM/positive/a_36_6.png,POSITIVE
dataset/SAM/positive/a_30_3.png,POSITIVE
dataset/SAM/negative/00116.jpg,NEGATIVE
dataset/SAM/negative/00081.jpg,NEGATIVE
dataset/SAM/positive/a_5_49.png,POSITIVE
dataset/SAM/positive/a_27_1.png,POSITIVE
dataset/SAM/negative/00059.jpg,NEGATIVE
dataset/SAM/negative/00090.jpg,NEGATIVE
dataset/SAM/negative/00198.jpg,NEGATIVE
dataset/SAM/positive/a_6_30.png,POSITIVE
dataset/SAM/positive/a_12_8.png,POSITIVE
dataset/SAM/negative/00085.jpg,NEGATIVE
dataset/SAM/positive/a_32_2.png,POSITIVE
dataset/SAM/negative/00204.jpg,NEGATIVE
dataset/SAM/negative/00050.jpg,NEGATIVE
dataset/SAM/positive/a_22_6.png,POSITIVE
dataset/SAM/negative/00179.jpg,NEGATIVE
dataset/SAM/negative/00055.jpg,NEGATIVE
dataset/SAM/negative/00218.jpg,NEGATIVE
dataset/SAM/negative/00087.jpg,NEGATIVE
dataset/SAM/negative/00127.jpg,NEGATIVE
dataset/SAM/negative/00017.jpg,NEGATIVE
dataset/SAM/positive/a_34_12.png,POSITIVE
dataset/SAM/positive/a_13_0.png,POSITIVE
dataset/SAM/negative/00101.jpg,NEGATIVE
dataset/SAM/negative/00036.jpg,NEGATIVE
dataset/SAM/negative/00100.jpg,NEGATIVE
dataset/SAM/positive/a_6_41.png,POSITIVE
dataset/SAM/positive/a_32_7.png,POSITIVE
dataset/SAM/positive/c_13_130.png,POSITIVE
dataset/SAM/negative/00008.jpg,NEGATIVE
dataset/SAM/positive/a_115_241.png,POSITIVE
dataset/SAM/negative/00210.jpg,NEGATIVE
dataset/SAM/positive/b_38_3.png,POSITIVE
dataset/SAM/positive/a_22_3.png,POSITIVE
dataset/SAM/negative/00205.jpg,NEGATIVE
dataset/SAM/positive/c_24_250.png,POSITIVE
dataset/SAM/negative/00034.jpg,NEGATIVE
dataset/SAM/negative/00105.jpg,NEGATIVE
dataset/SAM/negative/00165.jpg,NEGATIVE
dataset/SAM/negative/00229.jpg,NEGATIVE
dataset/SAM/positive/c_0_176.png,POSITIVE
dataset/SAM/negative/00031.jpg,NEGATIVE
dataset/SAM/positive/a_5_39.png,POSITIVE
dataset/SAM/positive/c_13_131.png,POSITIVE
dataset/SAM/negative/00167.jpg,NEGATIVE
dataset/SAM/negative/00186.jpg,NEGATIVE
dataset/SAM/negative/00236.jpg,NEGATIVE
dataset/SAM/positive/a_38_0.png,POSITIVE
dataset/SAM/positive/a_19_0.png,POSITIVE
dataset/SAM/negative/00178.jpg,NEGATIVE
dataset/SAM/positive/a_20_0.png,POSITIVE
dataset/SAM/positive/a_30_11.png,POSITIVE
dataset/SAM/negative/00164.jpg,NEGATIVE
dataset/SAM/positive/a_6_43.png,POSITIVE
dataset/SAM/positive/a_79_31.png,POSITIVE
dataset/SAM/positive/a_40_2.png,POSITIVE
dataset/SAM/negative/00238.jpg,NEGATIVE
dataset/SAM/negative/00172.jpg,NEGATIVE
dataset/SAM/negative/00180.jpg,NEGATIVE
dataset/SAM/negative/00188.jpg,NEGATIVE
dataset/SAM/positive/a_4_4.png,POSITIVE
dataset/SAM/negative/00123.jpg,NEGATIVE
dataset/SAM/positive/a_6_32.png,POSITIVE
dataset/SAM/negative/00003.jpg,NEGATIVE
dataset/SAM/negative/00170.jpg,NEGATIVE
dataset/SAM/negative/00168.jpg,NEGATIVE
dataset/SAM/positive/c_13_136.png,POSITIVE
dataset/SAM/positive/a_30_1.png,POSITIVE
dataset/SAM/negative/00019.jpg,NEGATIVE
dataset/SAM/positive/a_31_44.png,POSITIVE
dataset/SAM/negative/00137.jpg,NEGATIVE
dataset/SAM/positive/a_22_4.png,POSITIVE
dataset/SAM/positive/a_8_8.png,POSITIVE
dataset/SAM/negative/00018.jpg,NEGATIVE
dataset/SAM/positive/a_39_4.png,POSITIVE
dataset/SAM/negative/00226.jpg,NEGATIVE
dataset/SAM/negative/00072.jpg,NEGATIVE
dataset/SAM/negative/00038.jpg,NEGATIVE
dataset/SAM/positive/a_29_3.png,POSITIVE
dataset/SAM/negative/00146.jpg,NEGATIVE
dataset/SAM/negative/00237.jpg,NEGATIVE
dataset/SAM/negative/00114.jpg,NEGATIVE
dataset/SAM/positive/c_0_111.png,POSITIVE
dataset/SAM/positive/a_0_42.png,POSITIVE
dataset/SAM/positive/a_31_73.png,POSITIVE
dataset/SAM/negative/00228.jpg,NEGATIVE
dataset/SAM/positive/b_38_0.png,POSITIVE
dataset/SAM/positive/a_0_10.png,POSITIVE
dataset/SAM/negative/00136.jpg,NEGATIVE
dataset/SAM/positive/a_13_3.png,POSITIVE
dataset/SAM/positive/a_8_5.png,POSITIVE
dataset/SAM/negative/00051.jpg,NEGATIVE
dataset/SAM/negative/00115.jpg,NEGATIVE
dataset/SAM/positive/a_0_15.png,POSITIVE
dataset/SAM/negative/00006.jpg,NEGATIVE
dataset/SAM/negative/00193.jpg,NEGATIVE
dataset/SAM/positive/h_41_68.png,POSITIVE
dataset/SAM/negative/00220.jpg,NEGATIVE
dataset/SAM/negative/00071.jpg,NEGATIVE
dataset/SAM/positive/a_1_2.png,POSITIVE
dataset/SAM/negative/00196.jpg,NEGATIVE
dataset/SAM/negative/00084.jpg,NEGATIVE
dataset/SAM/positive/a_149_46.png,POSITIVE
dataset/SAM/positive/a_23_7.png,POSITIVE
dataset/SAM/positive/a_23_4.png,POSITIVE
dataset/SAM/positive/a_7_0.png,POSITIVE
dataset/SAM/positive/a_5_28.png,POSITIVE
dataset/SAM/positive/a_88_0.png,POSITIVE
dataset/SAM/positive/a_31_49.png,POSITIVE
dataset/SAM/negative/00048.jpg,NEGATIVE
