Filepath,Label
surface_crack_detection\classification\dataset_binary\Isolated\b_35_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_2_3.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\c_13_136.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_0_27.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_24_248.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_0_48.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_0_10.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_22_5.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_1_5.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_31_157.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\h_37_176.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_16_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_5_39.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_25_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_0_176.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_32_228.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_6_29.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_3_4.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_49.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_130_7.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_76_9.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_15_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_30_2.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_101_4.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\h_41_244.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\h_6_165.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_3_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_38_198.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_27_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\d_5_127.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\c_9_70.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\c_38_196.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_8_9.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_9_3.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_5_40.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_27_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_23_5.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_18_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_37_0.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_15_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_19_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\d_9_170.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_31_90.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_24_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_36_8.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_25_1.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_14_0.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_22_7.png,Disseminated
surface_crack_detection\classification\dataset_binary\Disseminated\a_0_21.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_32_2.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_5_28.png,Disseminated
surface_crack_detection\classification\dataset_binary\Isolated\a_13_1.png,Isolated
surface_crack_detection\classification\dataset_binary\Isolated\a_31_8.png,Isolated
surface_crack_detection\classification\dataset_binary\Disseminated\a_34_19.png,Disseminated
