Filepath,Label
surface_crack_detection\classification\masks_dataset\Isolated\b_35_1.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_32_5.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_22_4.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_26_1.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\c_24_248.png,Isolated
surface_crack_detection\classification\masks_dataset\Disseminated\a_22_3.png,Disseminated
surface_crack_detection\classification\masks_dataset\Isolated\a_25_0.png,Isolated
surface_crack_detection\classification\masks_dataset\Disseminated\a_6_32.png,Disseminated
surface_crack_detection\classification\masks_dataset\Isolated\a_31_83.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\c_31_157.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\h_37_176.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_31_74.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_6_28.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_0_10.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\c_0_176.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\c_32_228.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_6_53.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_15_1.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_35_0.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_31_26.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_83_2.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_31_65.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_101_4.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_2_2.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\h_41_244.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\h_6_165.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_14_3.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\c_38_198.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_0_32.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_22_5.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\c_9_70.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\c_38_196.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_9_4.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_20_1.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_6_29.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_0_31.png,Isolated
surface_crack_detection\classification\masks_dataset\Disseminated\d_9_170.png,Disseminated
surface_crack_detection\classification\masks_dataset\Disseminated\a_33_6.png,Disseminated
surface_crack_detection\classification\masks_dataset\Isolated\a_5_38.png,Isolated
surface_crack_detection\classification\masks_dataset\Isolated\a_31_66.png,Isolated
surface_crack_detection\classification\masks_dataset\Disseminated\a_33_7.png,Disseminated
surface_crack_detection\classification\masks_dataset\Isolated\a_23_6.png,Isolated
